n,M,RMSE,Bias,SD,MAE,90%_SE,90%_AISE,90%_BOOT,95%_SE,95%_AISE,95%_BOOT
600,4,0.188568281227498,0.0009736568179069955,0.188565767512276,0.15029955673797465,0.791,0.858,0.921,0.8565,0.9175,0.961
600,8,0.1829379859958515,0.017434327777409952,0.18210532923329892,0.14639962230668596,0.7885,0.8605,0.926,0.8635,0.9155,0.9675
600,16,0.18560740619824834,0.015191196381227168,0.18498469338880053,0.14796024527366541,0.768,0.846,0.9255,0.8455,0.911,0.9685
600,42,0.18479075565076108,0.01254587401547276,0.1843643794749061,0.14679452015872965,0.768,0.849,0.93,0.839,0.917,0.9625
1200,5,0.11884480301389534,0.01090930920390387,0.11834303602707347,0.09450726896613283,0.8435,0.8955,0.9145,0.9095,0.9425,0.958
1200,10,0.11931974264591855,0.014765379339671746,0.11840263746236325,0.09612738176277157,0.822,0.878,0.916,0.8965,0.9395,0.955
1200,21,0.12105204262006891,0.016503545111129263,0.11992176625306974,0.09777102920317343,0.814,0.8715,0.91,0.8875,0.939,0.9595
1200,53,0.11964842318677468,0.02163414036248019,0.1176762896332903,0.09578917209029361,0.8045,0.8825,0.913,0.889,0.9385,0.9605
4800,8,0.05892348442166128,0.008036822817425312,0.05837282326041008,0.0470203944023899,0.8465,0.8765,0.8945,0.9125,0.9415,0.951
4800,16,0.059048420797608074,0.008249850751299751,0.05846927365097563,0.046947482624795575,0.8395,0.875,0.891,0.903,0.926,0.9395
4800,33,0.05945481475589228,0.011999636496840892,0.05823129503627024,0.04786912701962459,0.8325,0.87,0.8915,0.9015,0.9245,0.943
4800,84,0.057832180472724246,0.014590696720889269,0.05596134976417901,0.046131917577603335,0.8385,0.8755,0.901,0.903,0.9345,0.9495
9600,10,0.04059741146172045,0.007243590518253599,0.039945966176775566,0.03223686605616876,0.869,0.8895,0.9085,0.926,0.9395,0.95
9600,21,0.040740291883847785,0.008531372120814012,0.03983700631971874,0.03241660827055911,0.855,0.8815,0.9015,0.917,0.937,0.95
9600,42,0.04127265027445169,0.010084438928287276,0.040021691020980625,0.03293419757766801,0.848,0.876,0.902,0.9145,0.93,0.9435
9600,106,0.043038281872148705,0.014062205597699969,0.04067613649591784,0.034009532470858944,0.8285,0.857,0.877,0.89,0.9075,0.928
